Students	1000
611	19 18 5 36
612	35 15 16 28
613	23 32 11 44
614	37 17 7 47
615	6 28 9 17
616	58 7 49 44
617	56 10 38 31
618	42 59 25 45
619	14 47 10 23
620	48 38 56 15
621	13 39 11 48
622	5 28 12 15
623	37 60 23 6
624	20 1 49 48
625	41 7 38 19
626	10 1 58 12
627	41 30 7 21
628	46 16 32 56
629	34 32 29 60
630	21 22 39 30
631	11 34 16 36
632	17 3 28 42
633	47 5 8 15
634	20 24 54 44
635	60 25 43 55
636	43 7 4 19
637	27 7 11 54
638	17 6 34 37
639	36 51 60 54
640	32 22 26 46
641	36 57 58 20
642	44 53 9 8
643	42 36 25 21
644	3 30 48 39
645	52 24 26 17
646	32 1 21 56
647	30 44 6 10
648	46 57 56 30
649	40 3 52 16
650	6 58 48 36
651	50 11 9 15
652	48 4 36 53
653	42 20 17 58
654	38 33 46 16
655	13 59 42 50
656	9 39 55 10
657	48 8 6 11
658	52 14 27 30
659	25 1 23 19
660	27 35 5 4
661	42 14 12 33
662	15 19 51 23
663	23 34 35 11
664	23 20 26 18
665	39 25 32 47
666	3 11 4 12
667	59 36 12 52
668	49 34 2 28
669	29 35 18 58
670	48 35 4 59
671	35 18 42 5
672	53 56 18 5
673	28 38 32 8
674	32 36 43 35
675	17 5 36 37
676	34 18 60 36
677	31 59 7 19
678	41 3 30 34
679	49 43 51 56
680	30 48 23 41
681	30 59 10 53
682	51 54 47 40
683	10 22 8 28
684	1 24 10 11
685	45 42 41 24
686	49 7 15 53
687	32 27 18 21
688	56 26 21 29
689	33 31 59 53
690	28 22 6 53
691	11 41 34 14
692	11 57 24 22
693	19 20 36 42
694	13 10 21 20
695	8 14 16 44
696	59 2 30 7
697	35 53 29 52
698	18 44 25 34
699	40 50 33 21
700	23 34 1 26
701	49 21 6 47
702	3 48 33 39
703	8 41 36 11
704	51 28 56 26
705	44 8 41 39
706	3 51 25 42
707	49 5 45 37
708	30 1 34 11
709	36 31 48 24
710	20 32 22 60
711	13 38 2 60
712	20 38 6 43
713	3 29 48 56
714	34 16 37 21
715	57 24 56 59
716	47 35 25 8
717	47 6 16 29
718	44 27 39 21
719	47 55 15 58
720	11 40 7 38
721	13 5 33 29
722	24 46 37 59
723	31 40 28 54
724	28 56 11 40
725	27 29 30 31
726	19 47 45 25
727	22 11 53 55
728	49 54 43 25
729	40 25 23 31
730	33 22 60 43
731	35 26 30 41
732	16 27 48 25
733	27 3 56 36
734	20 1 27 46
735	26 54 45 29
736	9 33 30 16
737	39 46 29 20
738	9 50 59 58
739	27 54 48 36
740	9 46 18 41
741	54 39 58 34
742	20 2 40 11
743	51 16 5 23
744	14 52 29 30
745	60 29 48 4
746	53 31 2 7
747	60 13 12 7
748	39 4 1 18
749	48 12 51 21
750	4 9 43 34
751	25 56 34 12
752	34 52 60 44
753	5 41 16 57
754	12 45 43 2
755	52 3 24 17
756	24 41 8 46
757	44 43 19 60
758	18 50 52 41
759	16 21 30 18
760	14 4 21 25
761	14 48 30 26
762	25 3 36 23
763	50 8 39 60
764	15 32 24 35
765	18 52 38 41
766	21 55 43 20
767	28 3 20 46
768	27 14 3 20
769	47 52 21 32
770	42 10 21 51
771	28 22 32 59
772	3 15 8 36
773	37 36 22 2
774	13 36 10 8
775	58 1 48 25
776	2 11 48 12
777	45 52 4 24
778	33 12 37 19
779	9 55 48 17
780	54 13 42 17
781	15 54 41 14
782	12 2 48 53
783	54 25 60 50
784	31 1 56 5
785	48 57 50 2
786	3 56 27 60
787	48 19 57 38
788	2 50 20 42
789	11 58 4 33
790	47 53 25 56
791	12 43 38 35
792	5 10 32 46
793	33 46 10 14
794	50 10 1 18
795	29 20 55 59
796	12 11 26 51
797	51 42 37 13
798	20 3 39 10
799	49 19 12 39
800	19 36 54 45
801	17 39 47 13
802	47 9 41 43
803	58 42 57 59
804	10 31 21 59
805	29 48 56 39
806	21 19 8 22
807	44 55 48 39
808	22 47 25 37
809	30 28 2 6
810	59 51 35 58
811	52 35 53 3
812	41 18 9 48
813	8 59 15 49
814	11 10 46 45
815	20 7 16 5
816	60 20 31 9
817	42 51 58 41
818	34 44 13 21
819	3 54 49 18
820	27 52 38 55
821	15 43 13 1
822	57 45 7 51
823	18 5 46 14
824	28 25 52 37
825	44 13 7 1
826	42 16 43 14
827	29 46 33 9
828	58 5 29 44
829	17 45 10 51
830	8 45 10 34
831	6 22 30 59
832	52 34 56 39
833	23 44 19 37
834	4 43 16 5
835	55 8 32 43
836	56 11 10 38
837	12 47 15 49
838	18 49 45 26
839	40 12 8 6
840	8 15 24 9
841	55 17 8 20
842	48 20 52 39
843	49 54 10 5
844	21 58 57 40
845	21 52 10 27
846	57 60 52 9
847	14 42 44 41
848	10 51 29 17
849	4 45 51 22
850	50 23 27 14
851	58 23 19 51
852	40 10 4 34
853	31 39 8 43
854	15 36 19 34
855	18 1 2 54
856	27 50 52 43
857	50 3 18 2
858	8 58 50 13
859	19 45 42 59
860	40 41 20 39
861	54 55 11 4
862	42 14 56 59
863	55 4 7 23
864	56 12 30 18
865	10 38 6 13
866	57 31 6 22
867	32 19 58 8
868	34 12 3 1
869	50 42 53 7
870	10 13 36 54
871	59 18 56 28
872	8 28 54 49
873	44 38 53 31
874	11 7 59 16
875	53 24 39 1
876	20 41 58 9
877	25 6 44 12
878	13 4 38 3
879	23 2 35 11
880	53 3 47 12
881	44 52 2 54
882	46 10 47 22
883	45 53 36 12
884	32 8 41 2
885	28 4 58 26
886	17 4 52 38
887	57 31 60 30
888	33 48 42 54
889	7 51 37 38
890	45 25 26 3
891	33 22 24 23
892	29 9 48 16
893	24 46 51 53
894	32 12 4 59
895	56 15 40 36
896	11 4 43 59
897	34 24 13 47
898	28 43 42 10
899	44 24 36 33
900	30 1 23 35
901	30 4 29 28
902	50 20 44 8
903	4 8 45 51
904	31 1 10 2
905	4 31 54 47
906	30 59 31 52
907	1 49 56 14
908	28 52 15 14
909	57 34 2 24
910	42 8 20 30
911	58 14 29 42
912	38 50 41 60
913	48 27 2 23
914	31 47 13 10
915	40 54 45 11
916	50 21 2 58
917	22 46 24 15
918	22 57 11 13
919	32 20 7 15
920	35 47 23 14
921	4 58 32 6
922	17 4 25 33
923	50 60 44 6
924	33 45 34 6
925	32 20 55 23
926	43 23 41 40
927	23 1 16 34
928	43 36 41 12
929	49 12 8 24
930	12 24 35 10
931	5 9 13 34
932	32 58 20 23
933	56 13 44 18
934	26 16 12 41
935	24 13 59 39
936	43 48 34 51
937	47 31 32 39
938	52 38 43 49
939	46 4 40 58
940	18 7 24 13
941	24 17 58 25
942	39 45 38 2
943	15 19 41 33
944	12 34 20 36
945	23 41 31 17
946	34 60 56 58
947	8 38 40 11
948	40 54 33 17
949	21 11 30 25
950	10 59 25 42
951	53 33 1 52
952	3 46 12 40
953	6 39 26 23
954	29 33 3 13
955	40 50 3 24
956	3 22 18 9
957	29 43 51 10
958	31 20 34 9
959	15 18 27 49
960	47 28 40 27
961	36 26 59 29
962	59 20 54 17
963	7 41 50 60
964	15 7 50 1
965	34 55 16 38
966	28 31 34 20
967	53 27 52 58
968	18 30 53 46
969	52 48 57 8
970	15 45 12 4
971	50 21 59 54
972	4 43 17 3
973	31 2 17 33
974	39 31 14 1
975	38 37 2 39
976	22 45 31 39
977	18 48 47 31
978	31 59 57 17
979	60 30 48 20
980	45 11 5 13
981	34 13 31 60
982	33 22 43 30
983	10 58 20 4
984	11 14 13 2
985	14 16 11 24
986	9 58 59 33
987	14 46 4 38
988	39 36 40 45
989	6 5 17 28
990	39 56 48 25
991	30 28 21 16
992	33 44 3 17
993	54 12 35 28
994	8 37 33 51
995	40 44 12 5
996	60 53 49 34
997	25 22 3 6
998	9 21 24 7
999	53 8 34 16
1000	55 46 58 59
