Students	300
101	13 19 17 6
102	17 4 12 18
103	20 16 6 18
104	2 16 10 20
105	16 14 13 5
106	8 11 2 13
107	18 11 6 7
108	3 9 4 20
109	14 13 8 19
110	10 18 9 20
111	1 19 12 8
112	1 11 17 6
113	19 4 8 2
114	7 1 20 8
115	4 5 17 12
116	16 9 13 20
117	19 13 7 11
118	14 4 12 3
119	13 3 2 17
120	10 7 16 14
121	10 9 11 4
122	6 15 7 11
123	7 14 17 11
124	19 14 10 5
125	1 9 18 20
126	4 12 17 19
127	5 3 9 15
128	16 19 18 15
129	19 8 4 17
130	5 20 1 15
131	14 11 20 13
132	2 9 13 11
133	4 1 14 19
134	19 13 7 5
135	15 6 13 2
136	11 13 12 17
137	1 18 12 5
138	18 13 6 2
139	6 15 4 7
140	6 8 9 16
141	16 11 5 17
142	20 18 15 7
143	20 3 17 1
144	16 8 2 4
145	5 15 4 19
146	14 2 16 8
147	8 16 11 12
148	8 10 9 7
149	14 20 16 12
150	12 17 16 1
151	3 6 18 17
152	9 4 10 14
153	18 7 19 2
154	18 10 11 15
155	7 18 16 1
156	8 20 5 15
157	8 15 10 17
158	3 13 11 8
159	1 12 6 15
160	11 13 12 17
161	3 11 10 16
162	13 3 2 6
163	11 8 19 5
164	19 14 13 2
165	5 3 16 19
166	14 13 7 11
167	10 11 12 7
168	13 7 12 2
169	19 13 18 7
170	4 12 15 14
171	15 12 16 11
172	11 5 16 1
173	11 5 1 16
174	13 18 17 3
175	17 7 19 15
176	5 11 12 10
177	4 14 20 3
178	20 19 1 16
179	18 8 2 19
180	12 5 1 19
181	16 19 1 2
182	3 16 14 12
183	16 18 1 13
184	11 17 16 6
185	7 11 5 6
186	9 15 19 5
187	2 9 13 5
188	3 19 4 5
189	3 8 14 6
190	16 7 18 1
191	11 4 18 19
192	5 9 8 4
193	7 2 15 4
194	17 11 12 20
195	2 9 1 20
196	18 20 15 13
197	7 5 12 1
198	8 6 14 11
199	7 1 18 15
200	13 11 3 17
201	11 5 17 2
202	8 7 13 6
203	5 1 6 7
204	11 14 4 9
205	19 8 7 5
206	8 13 6 19
207	10 15 11 5
208	2 4 5 6
209	6 17 11 14
210	4 8 1 10
211	19 9 11 15
212	10 7 1 2
213	15 7 11 1
214	10 5 2 15
215	19 17 4 13
216	19 20 7 12
217	11 4 1 5
218	7 16 15 8
219	12 20 19 7
220	20 17 9 8
221	1 14 17 12
222	16 4 10 17
223	18 3 7 13
224	11 7 5 13
225	6 1 15 18
226	16 17 2 14
227	14 2 3 20
228	14 1 2 12
229	8 16 6 10
230	18 8 20 3
231	9 16 5 8
232	16 8 14 15
233	6 9 2 8
234	11 13 3 12
235	3 19 7 4
236	19 14 15 7
237	17 12 4 5
238	12 5 18 10
239	3 9 18 12
240	15 19 8 1
241	20 15 13 7
242	18 1 9 7
243	17 8 1 18
244	9 12 6 14
245	8 11 18 10
246	15 6 16 7
247	4 10 7 11
248	20 4 13 16
249	6 20 4 8
250	1 8 2 5
251	9 11 8 4
252	19 18 2 11
253	15 3 10 1
254	4 15 12 19
255	17 12 15 20
256	12 1 20 8
257	17 6 16 18
258	20 10 16 2
259	6 1 2 19
260	7 9 13 10
261	9 19 18 10
262	17 14 9 16
263	9 6 16 7
264	14 11 3 16
265	12 11 6 16
266	13 17 2 10
267	18 17 9 14
268	1 19 10 18
269	5 4 17 7
270	12 20 17 13
271	10 18 17 11
272	15 8 1 14
273	7 12 18 17
274	18 9 6 14
275	20 4 14 7
276	9 5 8 15
277	4 8 9 13
278	6 15 11 3
279	10 2 17 13
280	2 8 9 15
281	15 13 4 1
282	3 7 20 12
283	16 14 6 19
284	18 8 11 3
285	1 18 8 14
286	4 10 8 3
287	19 15 17 12
288	1 16 19 7
289	7 19 6 5
290	10 1 3 17
291	20 3 18 12
292	9 7 2 10
293	18 13 3 17
294	12 14 7 20
295	5 13 3 9
296	9 6 14 3
297	17 20 8 12
298	15 3 9 11
299	2 15 6 16
300	4 15 5 17
